ProveAar;Opplegg;Mikrobe;Antibiotika;region;antall;Andel_R;Andel_S_I;antall_R;antall_S_I
2000;Blod;Enterococcus faecalis;Ampicillin;Norge;46;6.5217391304;93.47826087;3;43
2000;Blod;Enterococcus faecalis;Ampicillin;Nord;10;20;80;2;8
2000;Blod;Enterococcus faecalis;Ampicillin;Øst;4;0;100;0;4
2000;Blod;Enterococcus faecalis;Ampicillin;Midt;14;0;100;0;14
2000;Blod;Enterococcus faecalis;Ampicillin;Oslo/Akershus;13;7.6923076923;92.307692308;1;12
2000;Blod;Enterococcus faecalis;Ampicillin;Sør;5;0;100;0;5
2000;Blod;Enterococcus faecalis;Vancomycin;Nord;20;0;100;0;20
2000;Blod;Enterococcus faecalis;Vancomycin;Midt;28;0;100;0;28
2000;Blod;Enterococcus faecalis;Vancomycin;Øst;8;12.5;87.5;1;7
2000;Blod;Enterococcus faecalis;Vancomycin;Oslo/Akershus;26;38.461538462;61.538461538;10;16
2000;Blod;Enterococcus faecalis;Vancomycin;Sør;10;10;90;1;9
2000;Blod;Enterococcus faecalis;Vancomycin;Norge;92;13.043478261;86.956521739;12;80
2000;Blod;Enterococcus faecium;Ampicillin;Norge;2;50;50;1;1
2000;Blod;Enterococcus faecium;Ampicillin;Oslo/Akershus;1;100;0;1;0
2000;Blod;Enterococcus faecium;Ampicillin;Nord;1;0;100;0;1
2000;Blod;Enterococcus faecium;Vancomycin;Oslo/Akershus;2;0;100;0;2
2000;Blod;Enterococcus faecium;Vancomycin;Nord;2;0;100;0;2
2000;Blod;Enterococcus faecium;Vancomycin;Norge;4;0;100;0;4
2000;Blod;Escherichia coli;Ampicillin;Norge;107;19.626168224;80.373831776;21;86
2000;Blod;Escherichia coli;Ampicillin;Sør;21;19.047619048;80.952380952;4;17
2000;Blod;Escherichia coli;Ampicillin;Nord;20;35;65;7;13
2000;Blod;Escherichia coli;Ampicillin;Øst;24;8.3333333333;91.666666667;2;22
2000;Blod;Escherichia coli;Ampicillin;Midt;21;4.7619047619;95.238095238;1;20
2000;Blod;Escherichia coli;Ampicillin;Oslo/Akershus;21;33.333333333;66.666666667;7;14
2000;Blod;Escherichia coli;Ceftazidim;Sør;21;0;100;0;21
2000;Blod;Escherichia coli;Ceftazidim;Nord;20;0;100;0;20
2000;Blod;Escherichia coli;Ceftazidim;Øst;24;0;100;0;24
2000;Blod;Escherichia coli;Ceftazidim;Oslo/Akershus;21;0;100;0;21
2000;Blod;Escherichia coli;Ceftazidim;Midt;21;0;100;0;21
2000;Blod;Escherichia coli;Ceftazidim;Norge;107;0;100;0;107
2000;Blod;Escherichia coli;Ciprofloxacin;Norge;107;1.8691588785;98.130841121;2;105
2000;Blod;Escherichia coli;Ciprofloxacin;Oslo/Akershus;21;0;100;0;21
2000;Blod;Escherichia coli;Ciprofloxacin;Midt;21;0;100;0;21
2000;Blod;Escherichia coli;Ciprofloxacin;Sør;21;4.7619047619;95.238095238;1;20
2000;Blod;Escherichia coli;Ciprofloxacin;Øst;24;0;100;0;24
2000;Blod;Escherichia coli;Ciprofloxacin;Nord;20;5;95;1;19
